token_path,token_type,figma_style_path,figma_target,notes
theme.status.accent.surface,color,Theme/Status/Accent/Surface,Paint Style,Accent background tone drawn from primary ramp. Used by banner + chip specimens; publish as library styles.
theme.status.accent.text,color,Theme/Status/Accent/Text,Paint Style,Accent text tone. Used by banner + chip specimens; publish as library styles.
theme.status.critical.border,color,Theme/Status/Critical/Border,Paint Style,Critical border tone. Used by banner + chip specimens; publish as library styles.
theme.status.critical.icon,color,Theme/Status/Critical/Icon,Paint Style,Critical icon colour. Used by banner + chip specimens; publish as library styles.
theme.status.critical.surface,color,Theme/Status/Critical/Surface,Paint Style,Critical background tone. Used by banner + chip specimens; publish as library styles.
theme.status.critical.text,color,Theme/Status/Critical/Text,Paint Style,Critical text tone. Used by banner + chip specimens; publish as library styles.
theme.status.info.border,color,Theme/Status/Info/Border,Paint Style,Informational border tone. Used by banner + chip specimens; publish as library styles.
theme.status.info.icon,color,Theme/Status/Info/Icon,Paint Style,Informational icon colour. Used by banner + chip specimens; publish as library styles.
theme.status.info.surface,color,Theme/Status/Info/Surface,Paint Style,Informational background tone. Used by banner + chip specimens; publish as library styles.
theme.status.info.text,color,Theme/Status/Info/Text,Paint Style,Informational text colour. Used by banner + chip specimens; publish as library styles.
sys.status.info.surface,color,System/Status/Info/Surface,Paint Style,Roundtrip: generated from tokens/theme.json → tokens/semantic/system.json → scripts/tokens/transform.ts.
sys.status.info.border,color,System/Status/Info/Border,Paint Style,Roundtrip: mirror of theme status border for component consumption.
sys.status.info.text,color,System/Status/Info/Text,Paint Style,Roundtrip: semantic text tone consumed by Tailwind classes.
sys.status.info.icon,color,System/Status/Info/Icon,Paint Style,Roundtrip: semantic icon tone surfaced in Tokens Roundtrip story.
theme.status.neutral.border,color,Theme/Status/Neutral/Border,Paint Style,Neutral status border tone. Used by banner + chip specimens; publish as library styles.
theme.status.neutral.icon,color,Theme/Status/Neutral/Icon,Paint Style,Neutral status icon colour. Used by banner + chip specimens; publish as library styles.
theme.status.neutral.surface,color,Theme/Status/Neutral/Surface,Paint Style,Neutral status background tone. Used by banner + chip specimens; publish as library styles.
theme.status.neutral.text,color,Theme/Status/Neutral/Text,Paint Style,Neutral status text tone. Used by banner + chip specimens; publish as library styles.
theme.status.success.border,color,Theme/Status/Success/Border,Paint Style,Success border tone. Used by banner + chip specimens; publish as library styles.
theme.status.success.icon,color,Theme/Status/Success/Icon,Paint Style,Success icon colour. Used by banner + chip specimens; publish as library styles.
theme.status.success.surface,color,Theme/Status/Success/Surface,Paint Style,Success background tone. Used by banner + chip specimens; publish as library styles.
theme.status.success.text,color,Theme/Status/Success/Text,Paint Style,Success text tone. Used by banner + chip specimens; publish as library styles.
theme.status.warning.border,color,Theme/Status/Warning/Border,Paint Style,Warning border tone. Used by banner + chip specimens; publish as library styles.
theme.status.warning.icon,color,Theme/Status/Warning/Icon,Paint Style,Warning icon colour. Used by banner + chip specimens; publish as library styles.
theme.status.warning.surface,color,Theme/Status/Warning/Surface,Paint Style,Warning background tone. Used by banner + chip specimens; publish as library styles.
theme.status.warning.text,color,Theme/Status/Warning/Text,Paint Style,Warning text tone. Used by banner + chip specimens; publish as library styles.
theme.surface.backdrop,color,Theme/Surface/Backdrop,Paint Style,Backdrop scrim for overlays. Apply to context surfaces in List/Detail specimens.
theme.surface.canvas,color,Theme/Surface/Canvas,Paint Style,Primary page background for Theme 0. Apply to context surfaces in List/Detail specimens.
theme.surface.disabled,color,Theme/Surface/Disabled,Paint Style,Surface colour for disabled components. Apply to context surfaces in List/Detail specimens.
theme.surface.interactive.primary.default,color,Theme/Surface/Interactive/Primary/Default,Paint Style,Primary action surface default state. Preserve OKLCH relative formula when syncing; do not overwrite with static values.
theme.surface.interactive.primary.hover,color,Theme/Surface/Interactive/Primary/Hover,Paint Style,Primary action hover surface. Preserve OKLCH relative formula when syncing; do not overwrite with static values.
theme.surface.interactive.primary.pressed,color,Theme/Surface/Interactive/Primary/Pressed,Paint Style,Primary action pressed surface. Preserve OKLCH relative formula when syncing; do not overwrite with static values.
theme.surface.inverse,color,Theme/Surface/Inverse,Paint Style,Inverse surface for dark elements on light UI. Apply to context surfaces in List/Detail specimens.
theme.surface.raised,color,Theme/Surface/Raised,Paint Style,Raised card surface with soft separation. Apply to context surfaces in List/Detail specimens.
theme.surface.subtle,color,Theme/Surface/Subtle,Paint Style,Secondary panel surface tone. Apply to context surfaces in List/Detail specimens.
theme.text.accent,color,Theme/Text/Accent,Paint Style,Accent text used sparingly for highlights. Scope to text/icon paint styles for library typography specimens.
theme.text.disabled,color,Theme/Text/Disabled,Paint Style,Disabled text tone. Scope to text/icon paint styles for library typography specimens.
theme.text.inverse,color,Theme/Text/Inverse,Paint Style,Text presented on inverse surfaces. Scope to text/icon paint styles for library typography specimens.
theme.text.muted,color,Theme/Text/Muted,Paint Style,Muted text for captions and labels with AA contrast. Scope to text/icon paint styles for library typography specimens.
theme.text.on-interactive,color,Theme/Text/On Interactive,Paint Style,Text on interactive primary surfaces. Scope to text/icon paint styles for library typography specimens.
theme.text.primary,color,Theme/Text/Primary,Paint Style,Primary body text. Scope to text/icon paint styles for library typography specimens.
theme.text.secondary,color,Theme/Text/Secondary,Paint Style,Secondary text for supporting content. Scope to text/icon paint styles for library typography specimens.
